Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Karnataka,69.02
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Kerala,43.79
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Madhya Pradesh,77.99
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Maharashtra,93.03
India,"Calendar Year (Jan - Dec), 2023","March, 2023",North East,12.56
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Odisha,33.55
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Punjab,36.88
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Rajasthan,64.43
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Tamil Nadu,81.25
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Uttar Pradesh (East),100.19
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Uttar Pradesh (West),63.49
India,"Calendar Year (Jan - Dec), 2023","March, 2023",West Bengal,57.15
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Kolkata,24.95
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Delhi,58.51
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Mumbai,37.57
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Andhra Pradesh,85
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Assam,25.25
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Bihar,91.18
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Gujarat,67.11
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Haryana,27.01
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Himachal Pradesh,8.91
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Jammu & Kashmir,12.32
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Karnataka,69.15
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Kerala,43.9
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Madhya Pradesh,77.7
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Maharashtra,92.76
